,name,value,country,currency
0,Budget,Less than R$200,brazil,Real (R$)
1,Dorm bed,R$40–80,brazil,Real (R$)
2,Sandwich and drink in a juice bar,R$18–25,brazil,Real (R$)
3,Long-distance buses,around R$15–18 per hour of travel,brazil,Real (R$)
4,Midrange,R$200–400,brazil,Real (R$)
5,Standard double room in a hotel,R$160–300,brazil,Real (R$)
6,Dinner for two in a midrange restaurant,R$80–160,brazil,Real (R$)
7,Jungle trip,R$150–350 per day,brazil,Real (R$)
8,Admission to nightclubs and live-music venues,R$20–50,brazil,Real (R$)
9,One-way flight from Rio to Salvador/Iguaçu/Manaus,from R$470/500/550,brazil,Real (R$)
10,Top end,More than R$400,brazil,Real (R$)
11,Boutique hotel,from R$500,brazil,Real (R$)
12,Upscale jungle lodges outside Manaus,R$600–1200 per night,brazil,Real (R$)
13,Dinner for two at top restaurants,R$200–500,brazil,Real (R$)
0,Budget,less than B$200,bolivia,Boliviano (B$)
1,Dorm/budget beds,B$40–70,bolivia,Boliviano (B$)
2,"Bread for breakfast, set lunch, dinner supplies bought in local market",B$50,bolivia,Boliviano (B$)
3,"Museum admission, limited tours",B$125,bolivia,Boliviano (B$)
4,2nd-class transit,B$70–100,bolivia,Boliviano (B$)
5,Midrange,B$200–650,bolivia,Boliviano (B$)
6,Midrange hotel,B$160–400,bolivia,Boliviano (B$)
7,"Hotel breakfast, lunch and dinner in a restaurant",B$200,bolivia,Boliviano (B$)
8,"Extra cash for beers, guided trips, excursions",B$300,bolivia,Boliviano (B$)
9,1st-class transit,B$150–200,bolivia,Boliviano (B$)
10,Top end,more than B$650,bolivia,Boliviano (B$)
11,Top-end hotel,B$400,bolivia,Boliviano (B$)
12,"Breakfast buffet, lunch and dinner at high-end restaurant",B$250,bolivia,Boliviano (B$)
13,Plenty of extra cash for guided trips,B$300–400,bolivia,Boliviano (B$)
14,1st-class transit and air transfers,B$300–500,bolivia,Boliviano (B$)
0,Budget,Less than LE600,egypt,"There is a severe shortage of small change, which is invaluable for tips, taxi fares and more. Withdraw odd amounts from ATMs to avoid a stack of unwieldy LE200 notes, hoard small bills and always try to break big bills at fancier establishments.
The currency is the Egyptian pound (LE), guinay in Arabic, divided into 100 piastres (pt). Coins of 5pt, 10pt and 25pt are basically extinct; 50pt notes and coins are also on their way out. LE1 coins are the most commonly used small change, while LE5, LE10, LE20, LE50, LE100 and LE200 notes are commonly used.
The government freed the exchange rate in 2016, which led to the Egyptian pound losing half its value against hard currencies, but since then it has been fairly stable. There is no real black-market exchange.
Some tour operators and hotels insist on US dollars or euros, even though this is technically illegal. It’s a good idea to travel with a small stash of hard currency, though increasingly you can pay by credit card.
Produce markets and some other venues sometimes write prices in piastres: LE3.50 as 350pt, for example."
1,Basic double room,LE170,egypt,"There is a severe shortage of small change, which is invaluable for tips, taxi fares and more. Withdraw odd amounts from ATMs to avoid a stack of unwieldy LE200 notes, hoard small bills and always try to break big bills at fancier establishments.
The currency is the Egyptian pound (LE), guinay in Arabic, divided into 100 piastres (pt). Coins of 5pt, 10pt and 25pt are basically extinct; 50pt notes and coins are also on their way out. LE1 coins are the most commonly used small change, while LE5, LE10, LE20, LE50, LE100 and LE200 notes are commonly used.
The government freed the exchange rate in 2016, which led to the Egyptian pound losing half its value against hard currencies, but since then it has been fairly stable. There is no real black-market exchange.
Some tour operators and hotels insist on US dollars or euros, even though this is technically illegal. It’s a good idea to travel with a small stash of hard currency, though increasingly you can pay by credit card.
Produce markets and some other venues sometimes write prices in piastres: LE3.50 as 350pt, for example."
2,Falafel sandwich,LE2.50,egypt,"There is a severe shortage of small change, which is invaluable for tips, taxi fares and more. Withdraw odd amounts from ATMs to avoid a stack of unwieldy LE200 notes, hoard small bills and always try to break big bills at fancier establishments.
The currency is the Egyptian pound (LE), guinay in Arabic, divided into 100 piastres (pt). Coins of 5pt, 10pt and 25pt are basically extinct; 50pt notes and coins are also on their way out. LE1 coins are the most commonly used small change, while LE5, LE10, LE20, LE50, LE100 and LE200 notes are commonly used.
The government freed the exchange rate in 2016, which led to the Egyptian pound losing half its value against hard currencies, but since then it has been fairly stable. There is no real black-market exchange.
Some tour operators and hotels insist on US dollars or euros, even though this is technically illegal. It’s a good idea to travel with a small stash of hard currency, though increasingly you can pay by credit card.
Produce markets and some other venues sometimes write prices in piastres: LE3.50 as 350pt, for example."
3,Major tourist site admission,LE60–200,egypt,"There is a severe shortage of small change, which is invaluable for tips, taxi fares and more. Withdraw odd amounts from ATMs to avoid a stack of unwieldy LE200 notes, hoard small bills and always try to break big bills at fancier establishments.
The currency is the Egyptian pound (LE), guinay in Arabic, divided into 100 piastres (pt). Coins of 5pt, 10pt and 25pt are basically extinct; 50pt notes and coins are also on their way out. LE1 coins are the most commonly used small change, while LE5, LE10, LE20, LE50, LE100 and LE200 notes are commonly used.
The government freed the exchange rate in 2016, which led to the Egyptian pound losing half its value against hard currencies, but since then it has been fairly stable. There is no real black-market exchange.
Some tour operators and hotels insist on US dollars or euros, even though this is technically illegal. It’s a good idea to travel with a small stash of hard currency, though increasingly you can pay by credit card.
Produce markets and some other venues sometimes write prices in piastres: LE3.50 as 350pt, for example."
4,Cairo–Luxor 1st-class train ticket,LE113–203,egypt,"There is a severe shortage of small change, which is invaluable for tips, taxi fares and more. Withdraw odd amounts from ATMs to avoid a stack of unwieldy LE200 notes, hoard small bills and always try to break big bills at fancier establishments.
The currency is the Egyptian pound (LE), guinay in Arabic, divided into 100 piastres (pt). Coins of 5pt, 10pt and 25pt are basically extinct; 50pt notes and coins are also on their way out. LE1 coins are the most commonly used small change, while LE5, LE10, LE20, LE50, LE100 and LE200 notes are commonly used.
The government freed the exchange rate in 2016, which led to the Egyptian pound losing half its value against hard currencies, but since then it has been fairly stable. There is no real black-market exchange.
Some tour operators and hotels insist on US dollars or euros, even though this is technically illegal. It’s a good idea to travel with a small stash of hard currency, though increasingly you can pay by credit card.
Produce markets and some other venues sometimes write prices in piastres: LE3.50 as 350pt, for example."
5,Midrange,LE600–1800,egypt,"There is a severe shortage of small change, which is invaluable for tips, taxi fares and more. Withdraw odd amounts from ATMs to avoid a stack of unwieldy LE200 notes, hoard small bills and always try to break big bills at fancier establishments.
The currency is the Egyptian pound (LE), guinay in Arabic, divided into 100 piastres (pt). Coins of 5pt, 10pt and 25pt are basically extinct; 50pt notes and coins are also on their way out. LE1 coins are the most commonly used small change, while LE5, LE10, LE20, LE50, LE100 and LE200 notes are commonly used.
The government freed the exchange rate in 2016, which led to the Egyptian pound losing half its value against hard currencies, but since then it has been fairly stable. There is no real black-market exchange.
Some tour operators and hotels insist on US dollars or euros, even though this is technically illegal. It’s a good idea to travel with a small stash of hard currency, though increasingly you can pay by credit card.
Produce markets and some other venues sometimes write prices in piastres: LE3.50 as 350pt, for example."
6,Midrange double air-con room,US$30,egypt,"There is a severe shortage of small change, which is invaluable for tips, taxi fares and more. Withdraw odd amounts from ATMs to avoid a stack of unwieldy LE200 notes, hoard small bills and always try to break big bills at fancier establishments.
The currency is the Egyptian pound (LE), guinay in Arabic, divided into 100 piastres (pt). Coins of 5pt, 10pt and 25pt are basically extinct; 50pt notes and coins are also on their way out. LE1 coins are the most commonly used small change, while LE5, LE10, LE20, LE50, LE100 and LE200 notes are commonly used.
The government freed the exchange rate in 2016, which led to the Egyptian pound losing half its value against hard currencies, but since then it has been fairly stable. There is no real black-market exchange.
Some tour operators and hotels insist on US dollars or euros, even though this is technically illegal. It’s a good idea to travel with a small stash of hard currency, though increasingly you can pay by credit card.
Produce markets and some other venues sometimes write prices in piastres: LE3.50 as 350pt, for example."
7,Two sit-down meals,LE120,egypt,"There is a severe shortage of small change, which is invaluable for tips, taxi fares and more. Withdraw odd amounts from ATMs to avoid a stack of unwieldy LE200 notes, hoard small bills and always try to break big bills at fancier establishments.
The currency is the Egyptian pound (LE), guinay in Arabic, divided into 100 piastres (pt). Coins of 5pt, 10pt and 25pt are basically extinct; 50pt notes and coins are also on their way out. LE1 coins are the most commonly used small change, while LE5, LE10, LE20, LE50, LE100 and LE200 notes are commonly used.
The government freed the exchange rate in 2016, which led to the Egyptian pound losing half its value against hard currencies, but since then it has been fairly stable. There is no real black-market exchange.
Some tour operators and hotels insist on US dollars or euros, even though this is technically illegal. It’s a good idea to travel with a small stash of hard currency, though increasingly you can pay by credit card.
Produce markets and some other venues sometimes write prices in piastres: LE3.50 as 350pt, for example."
8,Car and driver,LE350,egypt,"There is a severe shortage of small change, which is invaluable for tips, taxi fares and more. Withdraw odd amounts from ATMs to avoid a stack of unwieldy LE200 notes, hoard small bills and always try to break big bills at fancier establishments.
The currency is the Egyptian pound (LE), guinay in Arabic, divided into 100 piastres (pt). Coins of 5pt, 10pt and 25pt are basically extinct; 50pt notes and coins are also on their way out. LE1 coins are the most commonly used small change, while LE5, LE10, LE20, LE50, LE100 and LE200 notes are commonly used.
The government freed the exchange rate in 2016, which led to the Egyptian pound losing half its value against hard currencies, but since then it has been fairly stable. There is no real black-market exchange.
Some tour operators and hotels insist on US dollars or euros, even though this is technically illegal. It’s a good idea to travel with a small stash of hard currency, though increasingly you can pay by credit card.
Produce markets and some other venues sometimes write prices in piastres: LE3.50 as 350pt, for example."
